"Select a Pickup point","اختيار الخزانة"
"Select other Pickup point","اختيار الخزانة"
"Ship to RedBox Pickup point","التوصيل عبر خزائن ريد بوكس"
"Search for a RedBox Pickup point near you","الرجاء اختيار الخزانة الأقرب لك لإستلام شحنتك"
"RedBox Pickup points enable you to pick up your package at your convenience from a nearby self-service Locker or a staffed location","نقطة استلام ريد بوكس تتيح لك استلام شحناتك بالوقت والمكان المناسب لك من خزائن ذكية أو مركز استلام."
"Search by Address","بحث"
"Estimate time delivery","الوقت المتوقع للتوصيل"
"days","أيام"
"Ship to this location","اختيار الخزانة"
"Shipping to","الشحن الى"
"Selected point","اختيار الخزانة"
"Restricted access","خزانة خاصة"
"I confirm that I have access to this location","نعم، لدي تصريح للوصول لموقع الخزانة"
"Counter & Locker","خزانة وكاونتر"
"Counter","كاونتر"
"Locker","خزانة"
